sigla_uf,sexo,grau_instrucao,faixa_etaria,media_salarial
BA,02,05,36-45,1786.4990635482663
BA,02,05,46-60,1953.7006183456188
BA,01,05,36-45,2228.648974910835
BA,01,05,46-60,2433.0217737831131
BA,02,05,18-25,1391.3870564297342
BA,01,05,61-80,2790.9092231559293
BA,02,05,81+,2324.1336842105266
BA,01,05,26-35,1974.9573281409978
BA,01,05,0-17,2446.9280170940178
BA,01,05,81+,1651.8359090909091
BA,02,06,61-80,2705.5555343179849
BA,02,06,18-25,1182.2946834807701
BA,01,06,81+,3311.6058333333335
BA,01,06,61-80,2861.8796696600389
BA,02,06,46-60,2008.1463410282147
BA,01,06,18-25,1443.0436505913538
BA,01,06,36-45,2129.7976462748243
BA,01,06,0-17,930.3180520995337
BA,01,06,26-35,1877.3649350612036
BA,02,06,0-17,746.25225012813917
BA,02,06,26-35,1530.9314628427123
BA,01,06,46-60,2396.5391409610984
BA,02,06,81+,3432.502
BA,02,06,36-45,1671.9276119269343
BA,02,07,18-25,1397.8120739083938
BA,01,07,18-25,1547.2099749737367
BA,01,07,0-17,2476.1844421629016
BA,01,07,46-60,2920.565019472057
BA,02,07,81+,2792.66589041096
BA,02,07,36-45,2028.986920750368
BA,01,07,26-35,2084.6131624170634
BA,01,07,36-45,2558.5059605949482
BA,02,07,46-60,2585.9882614634153
BA,02,07,61-80,3648.1927531302385
BA,01,07,81+,3910.3084615384619
BA,02,07,0-17,2250.3564484304929
BA,01,07,61-80,3613.0293524987351
BA,02,07,26-35,1733.4371242610946
BA,02,08,36-45,3164.3212287847928
BA,02,08,0-17,6181.0019999999986
BA,02,08,46-60,4348.3821225710008
BA,01,08,46-60,5958.1376098044766
BA,01,08,61-80,8097.3588636363638
BA,01,08,0-17,5682.9027430555552
BA,02,08,81+,2685.94
BA,02,08,26-35,2448.5354428167557
BA,02,08,61-80,6687.1127958236666
BA,01,08,18-25,2086.55805484226
BA,01,08,26-35,3614.8932419821958
BA,01,08,81+,8789.464
BA,02,08,18-25,1717.5771940067523
BA,01,08,36-45,5008.8898523546277
BA,02,09,36-45,4978.7959960986809
BA,02,09,46-60,6921.0094779717347
BA,01,09,61-80,12932.685424783549
BA,01,09,36-45,7321.09152004992
BA,02,09,26-35,3657.2557152274217
BA,02,09,18-25,2518.5486508008325
BA,02,09,61-80,9377.64664573871
BA,01,09,18-25,2973.2728534616044
BA,01,09,0-17,9691.7130196078415
BA,01,09,26-35,4999.3726708509084
BA,02,09,0-17,7688.878165038
BA,01,09,46-60,9954.3766488830879
BA,01,09,81+,8390.7518987341755
BA,02,09,81+,4510.3526666666667
BA,02,10,46-60,8703.3118632075584
BA,01,10,61-80,14679.953371647505
BA,02,10,0-17,8696.605625
BA,01,10,81+,12003.439999999999
BA,01,10,36-45,8662.240725050915
BA,02,10,36-45,6870.8963669628847
BA,01,10,26-35,5623.5648538461564
BA,01,10,18-25,1761.6778787878786
BA,02,10,26-35,4640.43495327103
BA,02,10,18-25,2013.0440540540537
BA,02,10,81+,8171.59
BA,02,10,61-80,9914.340399239547
BA,01,10,0-17,19872.61888888889
BA,01,10,46-60,11672.910920362425
BA,02,11,36-45,9354.8969247159075
BA,01,11,61-80,17981.719999999998
BA,02,11,0-17,11326.767142857145
BA,01,11,36-45,11192.200539513675
BA,02,11,81+,1109.93
BA,02,11,46-60,14238.793516976302
BA,01,11,46-60,15265.847813953482
BA,01,11,18-25,2043.1807692307693
BA,02,11,18-25,2962.5116666666663
BA,02,11,26-35,6815.1250815850826
BA,01,11,26-35,7892.5470588235275
BA,01,11,81+,6769.152
BA,02,11,61-80,15098.913427672962
BA,01,11,0-17,16321.693333333335
CE,01,01,36-45,1720.3475099206346
