Renda_Total,log_renda,Sexo,Cor_Raca,UF,Escolaridade_Num,Escolaridade_Label,Idade,Setor_Economico,Area_Atuacao,Faixa_Etaria
2121120.0,14.567455280481612,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,28,Desconhecido,,26-35
1140.0,7.039660349862076,Masculino,Preta,Rondônia,12.0,Doutorado incompleto,58,Desconhecido,Serviços,46-60
2121150.0,14.5674694238463,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,46,Desconhecido,,46-60
1150.0,7.048386408721883,Masculino,Branca,Rondônia,,,28,Desconhecido,Serviços,26-35
20.0,3.044522437723423,Masculino,Parda,Rondônia,,,29,Desconhecido,,26-35
20.0,3.044522437723423,Feminino,Branca,Rondônia,10.0,Mestrado incompleto,28,Desconhecido,Serviços,26-35
1.0,0.6931471805599453,Feminino,Parda,Rondônia,,,16,Desconhecido,,0-17
2.0,1.0986122886681098,Masculino,Parda,Rondônia,,,14,Desconhecido,,0-17
12.0,2.5649493574615367,Feminino,Branca,Rondônia,,,55,Desconhecido,Agricultura,46-60
20.0,3.044522437723423,Masculino,Parda,Rondônia,7.0,Médio completo,45,Desconhecido,Comércio,36-45
1150.0,7.048386408721883,Feminino,Parda,Rondônia,13.0,Doutorado completo,42,Desconhecido,Serviços,36-45
2111180.0,14.562758064509685,Masculino,Branca,Rondônia,7.0,Médio completo,44,Desconhecido,,36-45
1140.0,7.039660349862076,Feminino,Branca,Rondônia,12.0,Doutorado incompleto,43,Desconhecido,Serviços,36-45
2121130.0,14.567459994958734,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,19,Desconhecido,,18-25
20.0,3.044522437723423,Feminino,Indígena,Rondônia,7.0,Médio completo,40,Desconhecido,Comércio,36-45
2111160.0,14.562748591094222,Masculino,Preta,Rondônia,7.0,Médio completo,53,Desconhecido,,46-60
1170.0,7.065613363597717,Masculino,Parda,Rondônia,13.0,Doutorado completo,50,Desconhecido,Serviços,46-60
1.0,0.6931471805599453,Feminino,Preta,Rondônia,12.0,Doutorado incompleto,40,Desconhecido,,36-45
2.0,1.0986122886681098,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,34,Desconhecido,Comércio,26-35
2111120.0,14.56272964399405,Feminino,Branca,Rondônia,10.0,Mestrado incompleto,22,Desconhecido,,18-25
2621140.0,14.779120277119546,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,27,Desconhecido,,26-35
1130.0,7.030857476116121,Feminino,Parda,Rondônia,12.0,Doutorado incompleto,48,Desconhecido,Serviços,46-60
2311130.0,14.653247573067528,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,39,Desconhecido,,36-45
2121120.0,14.567455280481612,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,27,Desconhecido,,26-35
2111130.0,14.562734380802748,Masculino,Branca,Rondônia,7.0,Médio completo,58,Desconhecido,,46-60
20.0,3.044522437723423,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,62,Desconhecido,Agricultura,61-80
2111120.0,14.56272964399405,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,38,Desconhecido,,36-45
2121120.0,14.567455280481612,Masculino,Parda,Rondônia,7.0,Médio completo,35,Desconhecido,,26-35
1.0,0.6931471805599453,Feminino,Preta,Rondônia,7.0,Médio completo,42,Desconhecido,,36-45
1130.0,7.030857476116121,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,57,Desconhecido,Serviços,46-60
1111140.0,13.920897973260303,Masculino,Parda,Rondônia,7.0,Médio completo,51,Desconhecido,Administração Pública,46-60
2.0,1.0986122886681098,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,43,Desconhecido,Comércio,36-45
20.0,3.044522437723423,Masculino,Parda,Rondônia,8.0,Superior incompleto,45,Desconhecido,Comércio,36-45
1130.0,7.030857476116121,Feminino,Preta,Rondônia,12.0,Doutorado incompleto,40,Desconhecido,Serviços,36-45
1150.0,7.048386408721883,Feminino,Preta,Rondônia,12.0,Doutorado incompleto,42,Desconhecido,Serviços,36-45
2111160.0,14.562748591094222,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,40,Desconhecido,,36-45
2.0,1.0986122886681098,Feminino,Parda,Rondônia,7.0,Médio completo,41,Desconhecido,Agricultura,36-45
2121150.0,14.5674694238463,Masculino,Branca,Rondônia,7.0,Médio completo,41,Desconhecido,,36-45
1111120.0,13.920879973582496,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,29,Desconhecido,,26-35
2121130.0,14.567459994958734,Masculino,Parda,Rondônia,7.0,Médio completo,43,Desconhecido,,36-45
1.0,0.6931471805599453,Feminino,Parda,Rondônia,7.0,Médio completo,49,Desconhecido,,46-60
20.0,3.044522437723423,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,25,Desconhecido,Comércio,18-25
1160.0,7.057036981697891,Feminino,Parda,Rondônia,13.0,Doutorado completo,45,Desconhecido,Serviços,36-45
2111130.0,14.562734380802748,Masculino,Branca,Rondônia,7.0,Médio completo,72,Desconhecido,,61-80
20.0,3.044522437723423,Feminino,Parda,Rondônia,12.0,Doutorado incompleto,45,Desconhecido,Agricultura,36-45
2111140.0,14.56273911758901,Masculino,Preta,Rondônia,7.0,Médio completo,55,Desconhecido,,46-60
1150.0,7.048386408721883,Feminino,Parda,Rondônia,13.0,Doutorado completo,47,Desconhecido,Serviços,46-60
1140.0,7.039660349862076,Feminino,Parda,Rondônia,12.0,Doutorado incompleto,50,Desconhecido,Serviços,46-60
4.0,1.6094379124341003,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,21,Desconhecido,Comércio,18-25
2111130.0,14.562734380802748,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,28,Desconhecido,,26-35
1140.0,7.039660349862076,Masculino,Parda,Rondônia,12.0,Doutorado incompleto,29,Desconhecido,Serviços,26-35
1121130.0,13.929848555173182,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,26,Desconhecido,,26-35
1130.0,7.030857476116121,Feminino,Branca,Rondônia,12.0,Doutorado incompleto,49,Desconhecido,Serviços,46-60
1.0,0.6931471805599453,Masculino,Branca,Rondônia,,,18,Desconhecido,,18-25
1150.0,7.048386408721883,Masculino,Preta,Rondônia,12.0,Doutorado incompleto,37,Desconhecido,Indústria,36-45
20.0,3.044522437723423,Masculino,Parda,Rondônia,12.0,Doutorado incompleto,25,Desconhecido,Comércio,18-25
2111120.0,14.56272964399405,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,22,Desconhecido,,18-25
1160.0,7.057036981697891,Masculino,Branca,Rondônia,13.0,Doutorado completo,48,Desconhecido,Serviços,46-60
2111140.0,14.56273911758901,Masculino,Parda,Rondônia,7.0,Médio completo,60,Desconhecido,,46-60
1150.0,7.048386408721883,Feminino,Branca,Rondônia,13.0,Doutorado completo,57,Desconhecido,Serviços,46-60
1.0,0.6931471805599453,Feminino,Parda,Rondônia,11.0,Mestrado completo,51,Desconhecido,,46-60
1150.0,7.048386408721883,Masculino,Parda,Rondônia,12.0,Doutorado incompleto,33,Desconhecido,Serviços,26-35
2111150.0,14.562743854352833,Feminino,Parda,Rondônia,9.0,Superior completo,65,Desconhecido,Administração Pública,61-80
2111140.0,14.56273911758901,Masculino,Branca,Rondônia,7.0,Médio completo,44,Desconhecido,,36-45
1.0,0.6931471805599453,Feminino,Branca,Rondônia,,,23,Desconhecido,,18-25
2121150.0,14.5674694238463,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,23,Desconhecido,,18-25
2121110.0,14.567450565982263,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,22,Desconhecido,,18-25
20.0,3.044522437723423,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,26,Desconhecido,Comércio,26-35
1111130.0,13.920888973461897,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,41,Desconhecido,,36-45
1150.0,7.048386408721883,Feminino,Parda,Rondônia,12.0,Doutorado incompleto,43,Desconhecido,Serviços,36-45
1150.0,7.048386408721883,Feminino,Parda,Rondônia,13.0,Doutorado completo,52,Desconhecido,Serviços,46-60
1180.0,7.074116816197362,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,60,Desconhecido,Serviços,46-60
2111110.0,14.562724907162915,Masculino,Parda,Rondônia,7.0,Médio completo,63,Desconhecido,,61-80
2.0,1.0986122886681098,Feminino,Parda,Rondônia,,,15,Desconhecido,,0-17
1111120.0,13.920879973582496,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,21,Desconhecido,,18-25
1.0,0.6931471805599453,Masculino,Branca,Rondônia,7.0,Médio completo,32,Desconhecido,,26-35
2121110.0,14.567450565982263,Masculino,Parda,Rondônia,7.0,Médio completo,64,Desconhecido,,61-80
2221120.0,14.613522581356566,Masculino,Parda,Rondônia,7.0,Médio completo,42,Desconhecido,,36-45
2111130.0,14.562734380802748,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,58,Desconhecido,,46-60
1111130.0,13.920888973461897,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,38,Desconhecido,,36-45
2111130.0,14.562734380802748,Masculino,Parda,Rondônia,7.0,Médio completo,50,Desconhecido,,46-60
1130.0,7.030857476116121,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,53,Desconhecido,Serviços,46-60
1.0,0.6931471805599453,Masculino,Parda,Rondônia,,,18,Desconhecido,,18-25
2121120.0,14.567455280481612,Masculino,Preta,Rondônia,7.0,Médio completo,59,Desconhecido,,46-60
2111130.0,14.562734380802748,Masculino,Parda,Rondônia,7.0,Médio completo,50,Desconhecido,,46-60
2111130.0,14.562734380802748,Masculino,Parda,Rondônia,,,49,Desconhecido,,46-60
20.0,3.044522437723423,Masculino,Parda,Rondônia,7.0,Médio completo,46,Desconhecido,Comércio,46-60
2121140.0,14.56746470941363,Masculino,Branca,Rondônia,7.0,Médio completo,58,Desconhecido,,46-60
1150.0,7.048386408721883,Masculino,Parda,Rondônia,13.0,Doutorado completo,52,Desconhecido,Indústria,46-60
1130.0,7.030857476116121,Feminino,Branca,Rondônia,10.0,Mestrado incompleto,56,Desconhecido,Serviços,46-60
2.0,1.0986122886681098,Masculino,Parda,Rondônia,6.0,Médio incompleto,66,Desconhecido,,61-80
8.0,2.1972245773362196,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,44,Desconhecido,Comércio,36-45
2111120.0,14.56272964399405,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,32,Desconhecido,,26-35
1150.0,7.048386408721883,Feminino,Parda,Rondônia,12.0,Doutorado incompleto,56,Desconhecido,Serviços,46-60
2.0,1.0986122886681098,Feminino,Parda,Rondônia,10.0,Mestrado incompleto,50,Desconhecido,Comércio,46-60
1150.0,7.048386408721883,Feminino,Branca,Rondônia,13.0,Doutorado completo,54,Desconhecido,Serviços,46-60
2121120.0,14.567455280481612,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,21,Desconhecido,,18-25
1150.0,7.048386408721883,Masculino,Parda,Rondônia,12.0,Doutorado incompleto,55,Desconhecido,Indústria,46-60
1174.0,7.069023426578259,Feminino,Branca,Rondônia,,,43,Desconhecido,Serviços,36-45
2.0,1.0986122886681098,Feminino,Parda,Rondônia,,,19,Desconhecido,Comércio,18-25
20.0,3.044522437723423,Masculino,Branca,Rondônia,10.0,Mestrado incompleto,54,Desconhecido,Agricultura,46-60
2121120.0,14.567455280481612,Masculino,Parda,Rondônia,7.0,Médio completo,61,Desconhecido,,61-80
2111130.0,14.562734380802748,Masculino,Branca,Rondônia,7.0,Médio completo,42,Desconhecido,,36-45
2111150.0,14.562743854352833,Masculino,Parda,Rondônia,9.0,Superior completo,78,Desconhecido,Administração Pública,61-80
2321120.0,14.657560816599133,Masculino,Parda,Rondônia,,,43,Desconhecido,,36-45
2111150.0,14.562743854352833,Masculino,Branca,Rondônia,12.0,Doutorado incompleto,45,Desconhecido,,36-45
2121110.0,14.567450565982263,Masculino,Parda,Rondônia,10.0,Mestrado incompleto,41,Desconhecido,,36-45
1140.0,7.039660349862076,Masculino,Preta,Rondônia,12.0,Doutorado incompleto,54,Desconhecido,Serviços,46-60
2121150.0,14.5674694238463,Masculino,Branca,Rondônia,12.0,Doutorado incompleto,49,Desconhecido,,46-60
